Year,Week,Home,Away,Line,Pick,Lock,HomeScore,AwayScore
2022,3,CLE,PIT,-4.5,PIT,0,29,17
2022,3,CHI,HOU,-3,CHI,0,23,20
2022,3,TEN,LAR,2,TEN,1,24,22
2022,3,IND,KC,4.5,KC,1,20,17
2022,3,MIA,BUF,4,MIA,0,21,19
2022,3,MIN,DET,-6.5,MIN,0,28,24
2022,3,NE,BAL,2.5,NE,0,26,37
2022,3,NYJ,CIN,6.5,CIN,1,12,27
2022,3,WAS,PHI,5.5,PHI,0,8,24
2022,3,CAR,NO,2,CAR,0,22,14
2022,3,LAC,JAC,-3.5,LAC,1,10,38
2022,3,ARI,LAR,3.5,LAR,1,12,20
2022,3,SEA,ATL,-1,SEA,0,23,27
2022,3,TB,GB,-1.5,TB,0,12,14
2022,3,DEN,SF,1.5,DEN,0,11,10
2022,3,NYG,DAL,1,NYG,0,16,23
